Tijdstip,Timestamp,Timertijd,Totale tijd,VOD link,
9-4-2021 17:00,0:00:00,1:02:00,0:00:00,https://www.twitch.tv/videos/981135862?t=0h,
9-4-2021 18:00,1:00:00,5:48:00,1:00:00,https://www.twitch.tv/videos/981135862?t=1h,
9-4-2021 19:00,2:00:00,7:46:00,2:00:00,https://www.twitch.tv/videos/981135862?t=2h,
9-4-2021 20:00,3:00:00,7:00:00,3:00:00,https://www.twitch.tv/videos/981135862?t=3h,
9-4-2021 21:00,4:00:00,12:48:00,4:00:00,https://www.twitch.tv/videos/981135862?t=4h,
9-4-2021 22:00,5:00:00,15:54:00,5:00:00,https://www.twitch.tv/videos/981135862?t=5h,
9-4-2021 23:00,6:00:00,17:53:00,6:00:00,https://www.twitch.tv/videos/981135862?t=6h,
10-4-2021 0:00,7:00:00,20:42:00,7:00:00,https://www.twitch.tv/videos/981135862?t=7h,
10-4-2021 1:00,8:00:00,23:07:00,8:00:00,https://www.twitch.tv/videos/981135862?t=8h,
10-4-2021 2:00,9:00:00,23:50:00,9:00:00,https://www.twitch.tv/videos/981135862?t=9h,
10-4-2021 3:00,10:00:00,23:50:00,10:00:00,https://www.twitch.tv/videos/981135862?t=10h,
10-4-2021 4:00,11:00:00,23:57:00,11:00:00,https://www.twitch.tv/videos/981135862?t=11h,
10-4-2021 5:00,12:00:00,24:43:00,12:00:00,https://www.twitch.tv/videos/981135862?t=12h,
10-4-2021 6:00,13:00:00,24:02:00,13:00:00,https://www.twitch.tv/videos/981135862?t=13h,
10-4-2021 7:00,14:00:00,23:15:00,14:00:00,https://www.twitch.tv/videos/981135862?t=14h,
10-4-2021 8:00,15:00:00,22:18:00,15:00:00,https://www.twitch.tv/videos/981135862?t=15h,
10-4-2021 9:00,16:00:00,21:29:00,16:00:00,https://www.twitch.tv/videos/981135862?t=16h,
10-4-2021 10:00,17:00:00,21:50:00,17:00:00,https://www.twitch.tv/videos/981135862?t=17h,
10-4-2021 11:00,18:00:00,21:58:00,18:00:00,https://www.twitch.tv/videos/981135862?t=18h,
10-4-2021 12:00,19:00:00,22:52:00,19:00:00,https://www.twitch.tv/videos/981135862?t=19h,
10-4-2021 13:00,20:00:00,23:43:00,20:00:00,https://www.twitch.tv/videos/981135862?t=20h,
10-4-2021 14:00,21:00:00,25:10:00,21:00:00,https://www.twitch.tv/videos/981135862?t=21h,
10-4-2021 15:00,22:00:00,27:06:00,22:00:00,https://www.twitch.tv/videos/981135862?t=22h,Tijd naar 3 min per sub
10-4-2021 16:00,23:00:00,28:19:00,23:00:00,https://www.twitch.tv/videos/981135862?t=23h,
10-4-2021 17:00,24:00:00,28:25:00,24:00:00,https://www.twitch.tv/videos/981135862?t=24h,
10-4-2021 18:00,25:00:00,28:11:00,25:00:00,https://www.twitch.tv/videos/981135862?t=25h,
10-4-2021 19:00,26:00:00,27:40:00,26:00:00,https://www.twitch.tv/videos/981135862?t=26h,
10-4-2021 20:00,27:00:00,27:58:00,27:00:00,https://www.twitch.tv/videos/981135862?t=27h,
10-4-2021 21:00,28:00:00,27:44:00,28:00:00,https://www.twitch.tv/videos/981135862?t=28h,
10-4-2021 22:00,29:00:00,29:08:00,29:00:00,https://www.twitch.tv/videos/981135862?t=29h,
10-4-2021 23:00,30:00:00,31:42:00,30:00:00,https://www.twitch.tv/videos/981135862?t=30h,
11-4-2021 0:00,31:00:00,32:29:00,31:00:00,https://www.twitch.tv/videos/981135862?t=31h,
11-4-2021 1:00,0:30:00,33:00:00,32:00:00,https://www.twitch.tv/videos/983018888?t=30m,
11-4-2021 2:00,1:30:00,33:07:00,33:00:00,https://www.twitch.tv/videos/983018888?t=1h30m,
11-4-2021 3:00,2:30:00,33:53:00,34:00:00,https://www.twitch.tv/videos/983018888?t=2h30m,
11-4-2021 4:00,3:30:00,33:21:00,35:00:00,https://www.twitch.tv/videos/983018888?t=3h30m,
11-4-2021 5:00,4:30:00,32:44:00,36:00:00,https://www.twitch.tv/videos/983018888?t=4h30m,
11-4-2021 6:00,5:30:00,31:58:00,37:00:00,https://www.twitch.tv/videos/983018888?t=5h30m,
11-4-2021 7:00,6:30:00,31:03:00,38:00:00,https://www.twitch.tv/videos/983018888?t=6h30m,
11-4-2021 8:00,7:30:00,31:13:00,39:00:00,https://www.twitch.tv/videos/983018888?t=7h30m,
11-4-2021 9:00,8:30:00,29:44:00,40:00:00,https://www.twitch.tv/videos/983018888?t=8h30m,
11-4-2021 10:00,9:30:00,29:29:00,41:00:00,https://www.twitch.tv/videos/983018888?t=9h30m,
11-4-2021 11:00,10:30:00,28:41:00,42:00:00,https://www.twitch.tv/videos/983018888?t=10h30m,
11-4-2021 12:00,11:30:00,28:11:00,43:00:00,https://www.twitch.tv/videos/983018888?t=11h30m,
11-4-2021 13:00,12:30:00,28:27:00,44:00:00,https://www.twitch.tv/videos/983018888?t=12h30m,
11-4-2021 14:00,13:30:00,28:19:00,45:00:00,https://www.twitch.tv/videos/983018888?t=13h30m,
11-4-2021 15:00,14:30:00,28:00:00,46:00:00,https://www.twitch.tv/videos/983018888?t=14h30m,
11-4-2021 16:00,15:30:00,27:44:00,47:00:00,https://www.twitch.tv/videos/983018888?t=15h30m,
11-4-2021 17:00,16:30:00,26:57:00,48:00:00,https://www.twitch.tv/videos/983018888?t=16h30m,
11-4-2021 18:00,17:30:00,26:18:00,49:00:00,https://www.twitch.tv/videos/983018888?t=17h30m,
11-4-2021 19:00,18:30:00,26:00:00,50:00:00,https://www.twitch.tv/videos/983018888?t=18h30m,
11-4-2021 20:00,19:30:00,26:53:00,51:00:00,https://www.twitch.tv/videos/983018888?t=19h30m,
11-4-2021 21:00,20:30:00,36:10:00,52:00:00,https://www.twitch.tv/videos/983018888?t=20h30m,
11-4-2021 22:00,21:30:00,37:09:00,53:00:00,https://www.twitch.tv/videos/983018888?t=21h30m,
11-4-2021 23:00,22:30:00,43:32:00,54:00:00,https://www.twitch.tv/videos/983018888?t=22h30m,Tijd naar 2 min per sub
12-4-2021 0:00,23:30:00,45:55:00,55:00:00,https://www.twitch.tv/videos/983018888?t=23h30m,
12-4-2021 1:00,24:30:00,45:49:00,56:00:00,https://www.twitch.tv/videos/983018888?t=24h30m,
12-4-2021 2:00,25:30:00,45:50:00,57:00:00,https://www.twitch.tv/videos/983018888?t=25h30m,
12-4-2021 3:00,26:30:00,45:06:00,58:00:00,https://www.twitch.tv/videos/983018888?t=26h30m,
12-4-2021 4:00,27:30:00,44:11:00,59:00:00,https://www.twitch.tv/videos/983018888?t=27h30m,
12-4-2021 5:00,28:30:00,43:11:00,60:00:00,https://www.twitch.tv/videos/983018888?t=28h30m,
12-4-2021 6:00,29:30:00,42:13:00,61:00:00,https://www.twitch.tv/videos/983018888?t=29h30m,
12-4-2021 7:00,30:30:00,41:17:00,62:00:00,https://www.twitch.tv/videos/983018888?t=30h30m,
12-4-2021 8:00,31:30:00,40:37:00,63:00:00,https://www.twitch.tv/videos/983018888?t=31h30m,
12-4-2021 9:00,32:30:00,40:16:00,64:00:00,https://www.twitch.tv/videos/983018888?t=32h30m,
12-4-2021 10:00,33:30:00,39:55:00,65:00:00,https://www.twitch.tv/videos/983018888?t=33h30m,
12-4-2021 11:00,34:30:00,41:43:00,66:00:00,https://www.twitch.tv/videos/983018888?t=34h30m,
12-4-2021 12:00,35:30:00,41:15:00,67:00:00,https://www.twitch.tv/videos/983018888?t=35h30m,
12-4-2021 13:00,36:30:00,41:18:00,68:00:00,https://www.twitch.tv/videos/983018888?t=36h30m,
12-4-2021 14:00,37:30:00,40:41:00,69:00:00,https://www.twitch.tv/videos/983018888?t=37h30m,
12-4-2021 15:00,38:30:00,40:31:00,70:00:00,https://www.twitch.tv/videos/983018888?t=38h30m,
12-4-2021 16:00,39:30:00,39:56:00,71:00:00,https://www.twitch.tv/videos/983018888?t=39h30m,
12-4-2021 17:00,40:30:00,40:21:00,72:00:00,https://www.twitch.tv/videos/983018888?t=40h30m,
12-4-2021 18:00,41:30:00,40:51:00,73:00:00,https://www.twitch.tv/videos/983018888?t=41h30m,
12-4-2021 19:00,42:30:00,40:15:00,74:00:00,https://www.twitch.tv/videos/983018888?t=42h30m,
12-4-2021 20:00,43:30:00,39:25:00,75:00:00,https://www.twitch.tv/videos/983018888?t=43h30m,
12-4-2021 21:00,44:30:00,38:50:00,76:00:00,https://www.twitch.tv/videos/983018888?t=44h30m,
12-4-2021 22:00,45:30:00,38:32:00,77:00:00,https://www.twitch.tv/videos/983018888?t=45h30m,
12-4-2021 23:00,0:11:00,38:54:00,78:00:00,https://www.twitch.tv/videos/985265302?t=11m,
13-4-2021 0:00,1:11:00,40:10:00,79:00:00,https://www.twitch.tv/videos/985265302?t=1h11m,
